Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
Summary of the Judgment,61997CJ0047_SUM,,,,,,,,4/30/1998,Court of Justice,,
Judgment of the Court (First Chamber) of 30 April 1998. # Criminal proceedings against E. Clarke & Sons (Coaches) Ltd and D.J. Ferne. # Reference for a preliminary ruling: Richmond Magistrates' Court - United Kingdom. # Social legislation relating to road transport - Compulsory use of a tachograph - Exemption for vehicles used for the carriage of passengers on regular services where the route covered does not exceed 50 km. # Case C-47/97.,61997CJ0047,,,,,ECLI:EU:C:1998:185,"Social Policy, Transport",,4/30/1998,Court of Justice,,European Court Reports 1998 I-02147
Judgment of the Court (First Chamber) of 30 April 1998. # Barbara Bellone v Yokohama SpA. # Reference for a preliminary ruling: Tribunale di Bologna - Italy. # Directive 86/653/EEC - Independent commercial agents - National rules providing that commercial agency contracts concluded by persons not entered on the register of agents are void. # Case C-215/97.,61997CJ0215,,,,,ECLI:EU:C:1998:189,"Freedom to provide services, Right of establishment",,4/30/1998,Court of Justice,,European Court Reports 1998 I-02191
Judgment of the Court (Sixth Chamber) of 30 April 1998. # Commission of the European Communities v Federal Republic of Germany. # Failure of a Member State to fulfil its obligations - Right of residence - Obligation to hold identity papers - Penalties. # Case C-24/97.,61997CJ0024,,,,,ECLI:EU:C:1998:184,"Free movement of workers, Freedom to provide services, Right of establishment",,4/30/1998,Court of Justice,,European Court Reports 1998 I-02133
Judgment of the Court of 28 April 1998. # Raymond Kohll v Union des caisses de maladie. # Reference for a preliminary ruling: Cour de cassation - Grand Duchy of Luxemburg. # Freedom to provide services - Reimbursement of medical expenses incurred in another Member State - Prior authorisation of the competent institution - Public health - Dental treatment. # Case C-158/96.,61996CJ0158,,,,,ECLI:EU:C:1998:171,Freedom to provide services,,4/28/1998,Court of Justice,,European Court Reports 1998 I-01931
"Judgment of the Court of 28 April 1998. # Javico International and Javico AG v Yves Saint Laurent Parfums SA (YSLP). # Reference for a preliminary ruling: Cour d'appel de Versailles - France. # Competition - Luxury cosmetic products - Selective distribution system - Obligation to export to a non-member country - Prohibition of re-importation into, and of marketing in, the Community. # Case C-306/96.",61996CJ0306,,,,,ECLI:EU:C:1998:173,"Agreements, decisions and concerted practices, Competition",,4/28/1998,Court of Justice,,European Court Reports 1998 I-01983
Judgment of the Court of 28 April 1998. # Nicolas Decker v Caisse de maladie des employés privés. # Reference for a preliminary ruling: Conseil arbitral des assurances sociales - Grand Duchy of Luxemburg. # Free movement of goods - Articles 30 and 36 of the EC Treaty - Reimbursement of medical expenses incurred in another Member State - Prior authorisation of the competent institution - Purchase of spectacles. # Case C-120/95.,61995CJ0120,,,,,ECLI:EU:C:1998:167,"Free movement of goods, Measures having equivalent effect, Quantitative restrictions",,4/28/1998,Court of Justice,,European Court Reports 1998 I-01831
"Judgment of the Court of 28 April 1998. # Jessica Safir v Skattemyndigheten i Dalarnas Län, formerly Skattemyndigheten i Kopparbergs Län. # Reference for a preliminary ruling: Länsrätten i Dalarnas Län - Sweden. # Freedom to provide services - Free movement of capital - Taxation of savings in the form of life assurance - Legislation of a Member State establishing different tax regimes according to the place of establishment of the undertaking providing the services. # Case C-118/96.",61996CJ0118,,,,,ECLI:EU:C:1998:170,"anti-discrimination, Non-discrimination on grounds of nationality",,4/28/1998,Court of Justice,,European Court Reports 1998 I-01897
Summary of the Judgment,61996CJ0158_SUM,,,,,,,,4/28/1998,Court of Justice,,
Summary of the Judgment,61995CJ0120_SUM,,,,,,,,4/28/1998,Court of Justice,,
Summary of the Judgment,61996CJ0118_SUM,,,,,,,,4/28/1998,Court of Justice,,
Summary of the Judgment,61996CJ0306_SUM,,,,,,,,4/28/1998,Court of Justice,,
Summary of the Judgment,61996CJ0200_SUM,,,,,,,,4/28/1998,Court of Justice,,
Judgment of the Court of 28 April 1998. # Metronome Musik GmbH v Music Point Hokamp GmbH. # Reference for a preliminary ruling: Landgericht Köln - Germany. # Copyright and related rights - Rental and lending right - Validity of Directive 92/100/EEC. # Case C-200/96.,61996CJ0200,,,,,ECLI:EU:C:1998:172,"Freedom to provide services, Right of establishment, Freedom of establishment, Intellectual, industrial and commercial property, Approximation of laws",,4/28/1998,Court of Justice,,European Court Reports 1998 I-01953
Judgment of the Court of 2 April 1998. # Commission of the European Communities v Chambre syndicale nationale des entreprises de transport de fonds et valeurs (Sytraval) and Brink's France SARL. # Appeal - State aid - Complaint by a competitor - Commission's obligations concerning the investigation of a complaint and the provision of reasons for rejecting it. # Case C-367/95 P.,61995CJ0367,,,,,ECLI:EU:C:1998:154,"State aids, Competition",,4/2/1998,Court of Justice,,European Court Reports 1998 I-01719
Judgment of the Court of 2 April 1998. # Outokumpu Oy. # Reference for a preliminary ruling: Uudenmaan lääninoikeus - Finland. # Excise duty on electricity - Rates of duty varying according to the method of producing electricity of domestic origin - Flat rate for imported electricity. # Case C-213/96.,61996CJ0213,,,,,ECLI:EU:C:1998:155,"Taxation, Internal taxation, Free movement of goods, Customs Union",,4/2/1998,Court of Justice,,European Court Reports 1998 I-01777
"Judgment of the Court of 2 April 1998. # The Queen v Commissioners of Customs and Excise, ex parte EMU Tabac SARL, The Man in Black Ltd, John Cunningham. # Reference for a preliminary ruling: Court of Appeal, London - United Kingdom. # Council Directive 92/12/EEC on the general arrangements for products subject to excise duty and on the holding, movement and monitoring of such products - Member State in which duty is payable - Purchase through an agent. # Case C-296/95.",61995CJ0296,,,,,ECLI:EU:C:1998:152,"Excise duties, Taxation",,4/2/1998,Court of Justice,,European Court Reports 1998 I-01605
Judgment of the Court of 2 April 1998. # Stichting Greenpeace Council (Greenpeace International) and Others v Commission of the European Communities. # Appeal - Natural or legal persons - Measures of direct and individual concern to them. # Case C-321/95 P.,61995CJ0321,,,,,ECLI:EU:C:1998:153,"European Regional Development Fund (ERDF), Energy, Environment, Approximation of laws, economic, social and territorial cohesion",,4/2/1998,Court of Justice,,European Court Reports 1998 I-01651
Summary of the Judgment,61995CJ0321_SUM,,,,,,,,4/2/1998,Court of Justice,,
"Judgment of the Court (Fifth Chamber) of 2 April 1998. # Norbrook Laboratories Ltd v Ministry of Agriculture, Fisheries and Food. # Reference for a preliminary ruling: Court of Appeal (Northern Ireland) - United Kingdom. # Directives 81/851/EEC and 81/852/EEC - Veterinary medicinal products - Marketing authorisation. # Case C-127/95.",61995CJ0127,,,,,ECLI:EU:C:1998:151,"Veterinary legislation, Approximation of laws, Agriculture and Fisheries",,4/2/1998,Court of Justice,,European Court Reports 1998 I-01531
Summary of the Judgment,61995CJ0296_SUM,,,,,,,,4/2/1998,Court of Justice,,
Summary of the Judgment,61996CJ0213_SUM,,,,,,,,4/2/1998,Court of Justice,,
Summary of the Judgment,61995CJ0127_SUM,,,,,,,,4/2/1998,Court of Justice,,
Summary of the Judgment,61995CJ0367_SUM,,,,,,,,4/2/1998,Court of Justice,,
Summary of the Judgment,61994CJ0068_SUM,,,,,,,,3/31/1998,Court of Justice,,
Judgment of the Court of 31 March 1998. # French Republic and Société commerciale des potasses et de l'azote (SCPA) and Entreprise minière et chimique (EMC) v Commission of the European Communities. # Community control of concentrations between undertakings - Collective dominant position. # Joined cases C-68/94 and C-30/95.,61994CJ0068,,,,,ECLI:EU:C:1998:148,"Agreements, decisions and concerted practices, Competition, Dominant position",,3/31/1998,Court of Justice,,European Court Reports 1998 I-01375
Summary of the Judgment,61996CJ0324_SUM,,,,,,,,3/26/1998,Court of Justice,,
"Judgment of the Court (Fifth Chamber) of 26 March 1998. # Odette Nikou Petridi Anonymos Kapnemporiki AE v Athanasia Simou and Others. # Reference for a preliminary ruling: Eirinodikeio Echinou - Greece. # Common organisation of the markets - Raw tobacco - System of maximum guaranteed quantities - Validity of Council Regulations (EEC) Nos 1114/88, 1251/89 and 1252/89 and of Commission Regulation (EEC) No 2046/90. # Case C-324/96.",61996CJ0324,,,,,ECLI:EU:C:1998:138,"Agriculture and Fisheries, Tobacco",,3/26/1998,Court of Justice,,European Court Reports 1998 I-01333
Summary of the Judgment,61996CJ0001_SUM,,,,,,,,3/19/1998,Court of Justice,,
"Judgment of the Court of 19 March 1998. # The Queen v Minister of Agriculture, Fisheries and Food, ex parte Compassion in World Farming Ltd. # Reference for a preliminary ruling: High Court of Justice, Queen's Bench Division - United Kingdom. # Articles 34 and 36 of the EC Treaty - Directive 91/629/EEC - European Convention on the Protection of Animals Kept for Farming Purposes - Recommendation concerning Cattle - Export of calves from a Member State maintaining the level of protection laid down by the Convention and the Recommendation - Export to Member States which comply with the Directive but do not observe the standards laid down in the Convention or the Recommendation and use intensive farming systems prohibited in the exporting State - Quantitative restrictions on exports - Exhaustive harmonisation - Validity of the Directive. # Case C-1/96.",61996CJ0001,,,,,ECLI:EU:C:1998:113,"Veterinary legislation, Measures having equivalent effect, Quantitative restrictions, Free movement of goods, Beef and veal, Agriculture and Fisheries",,3/19/1998,Court of Justice,,European Court Reports 1998 I-01251
Judgment of the Court (Fifth Chamber) of 17 March 1998. # Bayerische Hypotheken- und Wechselbank AG v Edgard Dietzinger. # Reference for a preliminary ruling: Bundesgerichtshof - Germany. # Protection of the consumer in respect of contracts negotiated away from business premises - Guarantees. # Case C-45/96.,61996CJ0045,,,,,ECLI:EU:C:1998:111,"Consumer protection, Approximation of laws",,3/17/1998,Court of Justice,,European Court Reports 1998 I-01199
Summary of the Judgment,61996CJ0387_SUM,,,,,,,,3/17/1998,Court of Justice,,
Summary of the Judgment,61996CJ0045_SUM,,,,,,,,3/17/1998,Court of Justice,,
Judgment of the Court (Fifth Chamber) of 17 March 1998. # Criminal proceedings against Anders Sjöberg. # Reference for a preliminary ruling: Svea hovrätt - Sweden. # Social legislation relating to road transport - Exception granted for vehicles used by public authorities to provide public services which are not in competition with professional road hauliers - Obligation on the driver to carry an extract from the duty roster. # Case C-387/96.,61996CJ0387,,,,,ECLI:EU:C:1998:112,"Social Policy, Transport",,3/17/1998,Court of Justice,,European Court Reports 1998 I-01225
"Judgment of the Court (Sixth Chamber) of 12 March 1998. # Jules Dethier Équipement SA v Jules Dassy and Sovam SPRL. # Reference for a preliminary ruling: Cour du travail de Liège - Belgium. # Safeguarding of employees' rights in the event of transfers of undertakings, businesses or parts of businesses - Transfer of an undertaking being wound up voluntarily or by the court - Power of the transferor and transferee to dismiss employees for economic, technical or organisational reasons - Employees dismissed shortly before the transfer and not taken on by the transferee. # Case C-319/94.",61994CJ0319,,,,,ECLI:EU:C:1998:99,Social Policy,,3/12/1998,Court of Justice,,European Court Reports 1998 I-01061
Judgment of the Court (Sixth Chamber) of 12 March 1998. # Ourdia Djabali v Caisse d'allocations familiales de l'Essonne. # Reference for a preliminary ruling: Tribunal des affaires de sécurité sociale d'Evry - France. # EEC-Algeria Cooperation Agreement - Article 39(1) - Principle of non-discrimination in the field of social security - Disabled adults' allowance - Reference for a preliminary ruling. # Case C-314/96.,61996CJ0314,,,,,ECLI:EU:C:1998:104,"External relations, Social security for migrant workers",,3/12/1998,Court of Justice,,European Court Reports 1998 I-01149
Summary of the Judgment,61996CJ0344_SUM,,,,,,,,3/12/1998,Court of Justice,,
Summary of the Judgment,61996CJ0187_SUM,,,,,,,,3/12/1998,Court of Justice,,
Summary of the Judgment,61996CJ0270_SUM,,,,,,,,3/12/1998,Court of Justice,,
Summary of the Judgment,61994CJ0319_SUM,,,,,,,,3/12/1998,Court of Justice,,
Summary of the Judgment,61996CJ0314_SUM,,,,,,,,3/12/1998,Court of Justice,,
Summary of the Judgment,61997CJ0163_SUM,,,,,,,,3/12/1998,Court of Justice,,
Summary of the Judgment,61997CJ0313_SUM,,,,,,,,3/12/1998,Court of Justice,,
Judgment of the Court (Fifth Chamber) of 12 March 1998. # Commission of the European Communities v Hellenic Republic. # Failure of a Member State to fulfil its obligations - Freedom of movement for workers - Article 48 of the EC Treaty - Article 7 of Regulation (EEC) No 1612/68 - Person working in the public service of a Member State - Mutual recognition of periods of employment in the public service of another Member State. # Case C-187/96.,61996CJ0187,,,,,ECLI:EU:C:1998:101,Free movement of workers,,3/12/1998,Court of Justice,,European Court Reports 1998 I-01095
Judgment of the Court (Fourth Chamber) of 12 March 1998. # Laboratoires Sarget SA v Fonds d'intervention et de régularisation du marché du sucre (FIRS). # Reference for a preliminary ruling: Tribunal administratif de Paris - France. # Refund for use of sugar in the manufacture of certain chemical products - Anti-asthenia products - Tariff classification. # Case C-270/96.,61996CJ0270,,,,,ECLI:EU:C:1998:103,"Sugar, Agriculture and Fisheries, Customs Union, Free movement of goods, Common customs tariff",,3/12/1998,Court of Justice,,European Court Reports 1998 I-01121
Judgment of the Court (Fifth Chamber) of 12 March 1998. # Commission of the European Communities v Italian Republic. # Failure by a Member State to fulfil its obligations - Directive 94/57/EC - Failure to transpose within the prescribed period. # Case C-313/97.,61997CJ0313,,,,,ECLI:EU:C:1998:110,Transport,,3/12/1998,Court of Justice,,European Court Reports 1998 I-01191
